"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@HooMolly","hathaway","https://t.co/jdiUtHnRQF #MVFW #dzzit","0","0","0","1649235814000","06 Apr 2022","HooMolly/status/1511630683873366022","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","MVFW | dzzit"
"@aaronaa39376521","aaron aaron","I'm celebrating the FIRST Metaverse Fashion Week at the @C_01_Project Fashion Runway: https://t.co/32JF576S8r @stephpurryeth @71mju @amyjgonz https://t.co/d92wYKQ8nT","0","0","2","1648428145000","28 Mar 2022","aaronaa39376521/status/1508243076807999489","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query",""
"@MertiumCrypto","Mertium","NFT adoption: Tokens take the runway at Metaverse Fashion Week News Source: @Cointelegraph Author: @Rachelwolf00 For More Trending Crypto And Finance News, Please visit: https://t.co/8oqUfE5GXQ #tokens #traditional #brands https://t.co/Afips5hp2A","0","2","2","1648670401000","30 Mar 2022","MertiumCrypto/status/1509259168556806144","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query","tokens | traditional | brands"
"@jhierroalvarez","Jorge Hierro Álvarez","La Metaverse Fashion Week mostró colecciones para primavera 2022 https://t.co/EcgXqdlya9 a través de @Pinkermoda","0","0","5","1649427142000","08 Apr 2022","jhierroalvarez/status/1512433173044543494","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query",""
"@Ns46682314","Ns 🆘️","https://t.co/eEhOzpziOy #MVFW #dzzit","0","0","0","1649249332000","06 Apr 2022","Ns46682314/status/1511687383099805696","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","MVFW | dzzit"
"@nuworldcrypto","NuWorld Crypto (Shawn C)","NFT adoption: Tokens take the runway at Metaverse Fashion Week - Cointelegraph https://t.co/B144NQ42us #NFT #NFTs #NFTCommunity","1","0","3","1650142385000","16 Apr 2022","nuworldcrypto/status/1515433116650786816","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query","NFT | NFTs | NFTCommunity"
"@Masulla","MarciaMasulla","Metaverse Fashion Week | Decentraland https://t.co/CSecaqhHpN","0","0","0","1648696043000","31 Mar 2022","Masulla/status/1509366722096209923","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query",""
"@advideostrategy","Gael Rodriguez 👨🏻‍💻🦾🎥👁=💰","RT @NicholasLFuller: Top 5 Metaverse Activations You Need To Know 5 Budweiser: #NFTBeerfest 4 Mac Cosmetics: Keith Haring 3 https://t.co/vBOiDpHySx The Art of Giving 2 Wonderfuel 1 Metaverse Fashion Week https://t.co/DdR4geDF0N @adage @parkerdelrey https://t.co/25p4lWsgqi","0","0","0","1649431720000","08 Apr 2022","advideostrategy/status/1512452371514863623","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query","NFTBeerfest"
"@metavisa","metavisa","#NFTs were strutting their stuff on the Metaverse Fashion Week runway, giving us a glimpse of how the digital and physical worlds can benefit from each other. https://t.co/UfsElQ3cV4","0","2","7","1648609359000","30 Mar 2022","metavisa/status/1509003141399736320","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query","NFTs"
"@BitcoinClub8","BitcoinClub","#DAZZLE #MVFW https://t.co/uZ1sDEcxZS","0","0","0","1649244109000","06 Apr 2022","BitcoinClub8/status/1511665475196882948","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","DAZZLE | MVFW"
"@omid63709389","omidrahimi.eth.lens (🌸, 🌿)(📽️, 🌿)(L3, ❄️).bit","#MVFW #dzzit https://t.co/ogmAaVG9av","0","0","0","1649244393000","06 Apr 2022","omid63709389/status/1511666666689777668","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","MVFW | dzzit"
"@IeBMwXGd4WFOR3r","cocm.π 互关","https://t.co/R4e49aP7a1 #DAZZLE #MVFW","0","0","0","1649238846000","06 Apr 2022","IeBMwXGd4WFOR3r/status/1511643402231693312","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","DAZZLE | MVFW"
"@maeklee1","Babysweet","new things #MVFW #dzzit","0","0","0","1649372880000","07 Apr 2022","maeklee1/status/1512205581074980867","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","MVFW | dzzit"
