"","created_at","date","name","username","link","tweet","replies_count","retweets_count","likes_count","photos"
"79",2022-03-07 19:34:10,2022-03-07,"Parcel","parcelnft","https://twitter.com/ParcelNFT/status/1500902644981944322","What would you do with one @decentraland LAND? Enter our #MVFW Wearables Competition before March 10 and you could find yourself solving this dilemma sooner than you think 😏   There are also 10 prizes of 100 #MANA up for grabs. Entry details:  https://t.co/Z9omv6eqYA",1,1,9,"[]"
"80",2022-03-10 23:14:11,2022-03-10,"Parcel","parcelnft","https://twitter.com/ParcelNFT/status/1502045177996881920","Our 2nd panel of judges for the @decentraland #MVFW Wearables Comp:  Hailing from NYC &amp; bringing a wealth of experience: - Christine Pomeranz and Cathleen Sheehan (@FIT faculty members) - @saraflteixeira (@exclusible)  How lucky are we to have them? 🤩  https://t.co/6OOBP4XrWz",0,2,12,"['https://pbs.twimg.com/media/FNhVsiaWYAMJEHw.jpg']"
"81",2022-02-25 22:37:03,2022-02-25,"Coinboard","coinboard","https://twitter.com/Coinboard/status/1497324790587166722","Decentraland to Host Metaverse Fashion Week With Tommy Hilfiger, Dolce &amp; Gabbana, Selfridges  https://t.co/IjNzwsOhu0 #Metaverse #Blockchain #Cavalli #Decentraland",0,0,0,"[]"
"82",2022-03-22 08:37:03,2022-03-22,"Metav3rse","metav3rse_","https://twitter.com/metav3rse_/status/1506173091486920710","Tommy Hilfiger to Showcase Spring 2022 Collections and NFT Wearables at Decentraland's Metaverse Fashion Week – Metaverse Bitcoin News - Bitcoin News  https://t.co/skP3IWsKgO",0,0,0,"[]"
"83",2022-02-25 17:27:03,2022-02-25,"Virtual Land Broker","alexmomnft","https://twitter.com/AlexMomNFT/status/1497246775589183514"," https://t.co/iUnR6ViW1a &amp; #Decentraland Announce Brands Participating in #Metaverse Fashion Week  https://t.co/SrjmQmIq0O  #opensea  #polygon #TheSandbox #NFTs",0,0,1,"[]"
"84",2022-03-22 08:40:46,2022-03-22,"Hotcoin Global","hotcoinglobal","https://twitter.com/HotcoinGlobal/status/1506174030650425346","Tommy Hilfiger to Showcase Spring 2022 Collections and NFT Wearables at @decentraland 's Metaverse Fashion Week  https://t.co/Vo6XbzyWjW via @BTCTN",1,0,9,"[]"
"85",2022-04-07 13:30:38,2022-04-07,"MetaGameHub DAO","mgh_dao","https://twitter.com/MGH_DAO/status/1512030080805097475","💫Recap #AMA with @JEANFEIER  Thank you everyone joining in, it was great fun talking with you about metaverses like @TheSandboxGame, @decentraland &amp; #MVFW, @xonexpp, @MuseVerseVR &amp; @Everdome_io.  We visited their website &amp; made comments on the opportunities it brings to #MGH.  https://t.co/pYhiIL0Wlc",0,7,15,"['https://pbs.twimg.com/media/FPvPV51WQAEGYI-.jpg']"
"86",2022-03-16 19:52:12,2022-03-16,"ziziverse","ziziverse","https://twitter.com/ziziverse/status/1504168675397586950","Dolce and Gabbana and other luxury brands will feature in Decentraland’s first ever Metaverse Fashion Week (March 24-27 2022)  https://t.co/C4ODZ9M8xm",3,15,89,"['https://pbs.twimg.com/tweet_video_thumb/FN_hbqsXoAIiOJ_.jpg']"
"87",2022-03-27 20:36:20,2022-03-27,"Crypto-Gucci.eth ᵍᵐ🦇🔊","cryptogucci","https://twitter.com/CryptoGucci/status/1508150946051764226","8/  @Cooopahtroopa drops new This Week in Music NFTs @ChimpersNFT auction for Kaze sold to @todayodious for 25.4Ξ @escapeplanbayc signs with @WME for all bookings Tommy Hilfiger showcases Spring 2022 Collections/NFT Wearables at ⁦@decentraland⁩’s Metaverse Fashion Week",1,0,5,"[]"
"88",2022-03-27 18:28:55,2022-03-27,"Danit Peleg ⌐◨-◨","danitpeleg3d","https://twitter.com/danitpeleg3d/status/1508118881570897927","DANIT PELEG x NOUNS   Metaverse Fashion Week 2022 (#MVFW)  Soon in physical form, 3D-printed. Funded by @nounsdao. Powered by CC0. ⌐◨-◨  https://t.co/b7TAiiag8P",7,12,50,"[]"
"89",2022-03-04 13:03:30,2022-03-04,"Universelle ✨","universelle_io","https://twitter.com/Universelle_io/status/1499717165922009102","""Le Papillon Noir""  2º wearable for @decentraland  made by @FabeeoBreen for ""Le Papillon"" collection.   🌟Help us to reach the #MVFW 🌟  https://t.co/8nKvHoRyFy",0,7,17,"['https://pbs.twimg.com/media/FNAPMmHWYAE-UoL.jpg']"
"90",2022-04-10 04:50:48,2022-04-10,"Crypto Farting","cryptofarting","https://twitter.com/CryptoFarting/status/1512986424152363016","The first-ever Metaverse Fashion Week: Digital fashion is here to stay  The digitalization of the fashion industry is inevitable with the rising popularity of the Metaverse, but technological improvements are still required to gain momentum.  This articl…  https://t.co/9YwXfbZ6kM  https://t.co/X6H4Gu5ROb",0,0,0,"['https://pbs.twimg.com/media/FP81IpiXEAUS1GS.jpg']"
"91",2022-04-06 14:51:11,2022-04-06,"jasonsummers.nft","jscoincollector","https://twitter.com/JsCoincollector/status/1511687965273112579","Better late than never, they say. Looking at some awesome collections by @vinxxchen at @DragonCityIO. Very inspiring 🥰   Come and check it out:  https://t.co/EbN7I4iYUr  #MVFW #Decentraland #DCL #Metaverse #NFTFashion #Wearables  https://t.co/Kivb5VfXNm",0,4,14,"['https://pbs.twimg.com/media/FPqWlc-WYAMBFnH.jpg', 'https://pbs.twimg.com/media/FPqWlc4XoAQfjI6.jpg', 'https://pbs.twimg.com/media/FPqWlc5XIAIJgic.jpg', 'https://pbs.twimg.com/media/FPqWlc8XoAAthxT.jpg']"
"92",2022-03-26 23:05:34,2022-03-26,"Decentral Games","decentralgames","https://twitter.com/DecentralGames/status/1507841212463689732","Join us at DOLLHOUSE w/ @DCLBabyDolls for an EPIC Metaverse Fashion Week Afterparty, featuring a performance by @iamPLVTINUM @ 11pm EST!💃💎  👉RSVP:  https://t.co/gKSfE0XKOv  https://t.co/7Rn7mO4BEo",3,8,20,"['https://pbs.twimg.com/media/FOzsiM_WUAYN2E_.jpg']"
"93",2022-03-02 20:41:28,2022-03-02,"Kelly Ann Collins","itskac","https://twitter.com/itskac/status/1499107639762079744","To celebrate the amazing work of @Decentraland’s creator community, @ParcelNFT partnered with @MetaPartyDCL to showcase top independent wearable designers at #Metaverse #FashionWeek.    https://t.co/VY9dFosRQW #MVFW   2/3  https://t.co/7Eck4RBIBj",1,0,4,"['https://pbs.twimg.com/tweet_video_thumb/FM3mc0YX0AECV3p.jpg']"
"94",2022-03-21 21:08:11,2022-03-21,"Crypto&NFT&Metaverse NEWS","additionalrules","https://twitter.com/additionalrules/status/1505999736154718209","News about Metaverse  Title：What to Know About the First Metaverse Fashion Week - Papermag    https://t.co/9yUiOAqqzn  #Metaverse #meta #crypto #BTC #bitcoin",1,0,0,"[]"
"95",2022-03-27 12:57:35,2022-03-27,"AltCoin-Delete","altcoindelete","https://twitter.com/AltcoinDelete/status/1508035499650338816","The metaverse continues to infiltrate the high-end fashion industry, with Decentraland.  #Metaverse #decentraland #FashionWeek #MetaverseNFT  Follow More Daily Updates on Everything Crypto, NFT &amp; Meteaverse 🎨🪙🚀📈🥽  https://t.co/hCIUe07Vxb",0,1,3,"[]"
