"","participant_code","item_tweet","rating","item","tweet","source"
"117","m6l8ynog","affective1",NA,"affective","1","brands"
"118","sp3z7jov","affective1",3,"affective","1","brands"
"119","2qm0d32j","affective1",NA,"affective","1","brands"
"120","p6kabpcv","affective1",4,"affective","1","brands"
"121","q8nk50gy","affective1",NA,"affective","1","brands"
"122","696w6ha8","affective1",5,"affective","1","brands"
"123","w4bv9bmk","affective1",NA,"affective","1","brands"
"124","wtbrvnca","affective1",2,"affective","1","brands"
"125","acje7hag","affective1",NA,"affective","1","brands"
"126","pj85w95c","affective1",5,"affective","1","brands"
"127","dmnv9fjr","affective1",NA,"affective","1","brands"
"128","gfs8j7lu","affective1",5,"affective","1","brands"
"129","fzyb8kza","affective1",NA,"affective","1","brands"
"130","18qwzl86","affective1",7,"affective","1","brands"
"131","wdx8mupu","affective1",NA,"affective","1","brands"
"132","gx4pzebq","affective1",4,"affective","1","brands"
"133","25quzehx","affective1",NA,"affective","1","brands"
"134","a8v3uhii","affective1",5,"affective","1","brands"
"135","p1nr4tt8","affective1",NA,"affective","1","brands"
"136","ih5pqp0z","affective1",5,"affective","1","brands"
"137","xwxx0fn3","affective1",NA,"affective","1","brands"
"138","ic4567h6","affective1",4,"affective","1","brands"
"139","60vs07wz","affective1",NA,"affective","1","brands"
"140","p5bppvqi","affective1",4,"affective","1","brands"
"141","g9w7l4zn","affective1",NA,"affective","1","brands"
"142","yahqo8w0","affective1",5,"affective","1","brands"
"143","tzsxb714","affective1",1,"affective","1","brands"
"144","rpq48z9e","affective1",NA,"affective","1","brands"
"145","1v5mg1sr","affective1",1,"affective","1","brands"
"146","opqmjbad","affective1",NA,"affective","1","brands"
"147","wtkedqqa","affective1",2,"affective","1","brands"
"148","770umb2c","affective1",NA,"affective","1","brands"
"149","o1cmcxd1","affective1",1,"affective","1","brands"
"150","ynhuka30","affective1",NA,"affective","1","brands"
"151","m92qu76p","affective1",4,"affective","1","brands"
"152","nfxr8nzu","affective1",NA,"affective","1","brands"
"153","5v5t2bfz","affective1",5,"affective","1","brands"
"154","qvechdho","affective1",NA,"affective","1","brands"
"155","lq7uarth","affective1",2,"affective","1","brands"
"156","vfte9rhd","affective1",NA,"affective","1","brands"
"157","yz0o7s93","affective1",4,"affective","1","brands"
"158","jx1hoqs5","affective2",4,"affective","2","brands"
"159","6yf74bre","affective2",NA,"affective","2","brands"
"160","ogdohkf8","affective2",3,"affective","2","brands"
"161","9was9jwj","affective2",NA,"affective","2","brands"
"162","g0v9p7we","affective2",3,"affective","2","brands"
"163","27uhtyxu","affective2",NA,"affective","2","brands"
"164","a89bdfnw","affective2",1,"affective","2","brands"
"165","gcap2hq5","affective2",1,"affective","2","brands"
"166","62sgf1q6","affective2",4,"affective","2","brands"
"167","agnsjv3u","affective2",NA,"affective","2","brands"
"168","z61pj3qh","affective2",NA,"affective","2","brands"
"169","i9lsmrra","affective2",3,"affective","2","brands"
"170","eh8427qe","affective2",NA,"affective","2","brands"
"171","hf2jc55w","affective2",5,"affective","2","brands"
"172","i6owifbh","affective2",NA,"affective","2","brands"
"173","8039ho03","affective2",3,"affective","2","brands"
"174","p8y66am4","affective2",NA,"affective","2","brands"
"175","fpejknpw","affective2",3,"affective","2","brands"
"176","crf9ios0","affective2",NA,"affective","2","brands"
"177","lrkhjbvs","affective2",2,"affective","2","brands"
"178","j80ligbl","affective2",NA,"affective","2","brands"
"179","yho59dh1","affective2",4,"affective","2","brands"
"180","n7ewy2cs","affective2",NA,"affective","2","brands"
"181","r02olzq0","affective2",3,"affective","2","brands"
"182","qq5poky6","affective2",NA,"affective","2","brands"
"183","ufnwpmau","affective2",1,"affective","2","brands"
"184","jr301tge","affective2",NA,"affective","2","brands"
